sampleName	condition	Status
TNBC1	TNBC	Tumoral
TNBC2	TNBC	Tumoral
TNBC3	TNBC	Tumoral
TNBC4	TNBC	Tumoral
TNBC5	TNBC	Tumoral
TNBC6	TNBC	Tumoral
NonTNBC1	Non-TNBC	Tumoral
NonTNBC2	Non-TNBC	Tumoral
NonTNBC3	Non-TNBC	Tumoral
NonTNBC4	Non-TNBC	Tumoral
NonTNBC5	Non-TNBC	Tumoral
NonTNBC6	Non-TNBC	Tumoral
HER2_1	HER2	Tumoral
HER2_2	HER2	Tumoral
HER2_3	HER2	Tumoral
HER2_4	HER2	Tumoral
HER2_5	HER2	Tumoral
NBS1	NBS	Normal
NBS2	NBS	Normal
NBS3	NBS	Normal
